learning_rate,momentum,batch_size,iou_score
0.1,0.9,4,0.44383899576961994
0.1,0.9,8,0.5194955977797509
0.1,0.95,4,0.3603185341507196
0.1,0.95,8,0.4545617936551571
0.01,0.9,4,0.8511497035622597
0.01,0.9,8,0.8433431084454059
0.01,0.95,4,0.830650542229414
0.01,0.95,8,0.8293569558858871
0.001,0.9,4,0.8236831307411194
0.001,0.9,8,0.813506871163845
0.001,0.95,4,0.8332605910301208
0.001,0.95,8,0.8271586900949478
